time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:34:00,PO,,"(28, 15, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:38:40
2025-03-26 08:38:40,PO,,"(28, 1, 0)",0 days 00:55:20,92.22,A,2025-03-26 08:39:10
2025-03-26 08:39:10,A,PO2UHYKS,"(28, 1, 0)",0 days 00:54:50,91.39,A,2025-03-26 08:45:50
2025-03-26 08:45:50,A,PO2UHYKS,"(8, 1, 0)",0 days 00:48:10,80.28,A,2025-03-26 08:46:10
2025-03-26 08:46:10,A,PO2UHYKS,"(8, 2, 0)",0 days 00:47:50,79.72,RC,2025-03-26 08:46:40
2025-03-26 08:46:40,RC,,"(8, 2, 0)",0 days 00:47:20,78.89,RC,2025-03-26 08:15:00
2025-03-26 08:15:00,RC,,"(8, 1, 0)",0 days 00:47:00,78.33,RC,2025-03-26 08:17:00
2025-03-26 08:17:00,RC,,"(20, 1, 0)",0 days 00:43:00,71.67,RC,2025-03-26 08:21:40
2025-03-26 08:21:40,RC,,"(20, 15, 0)",0 days 00:38:20,63.89,RC,2025-03-26 08:38:20
2025-03-26 08:38:20,RC,,"(28, 15, 0)",0 days 00:35:40,59.44,PO,2025-03-26 08:43:00
2025-03-26 08:43:00,PO,,"(28, 15, 0)",0 days 00:35:40,59.44,PO,2025-03-26 08:47:40
2025-03-26 08:47:40,PO,,"(28, 1, 0)",0 days 00:31:00,51.67,A,2025-03-26 08:48:10
2025-03-26 08:48:10,A,TM4KSMO9,"(28, 1, 0)",0 days 00:30:30,50.83,A,2025-03-26 08:52:10
2025-03-26 08:52:10,A,TM4KSMO9,"(28, 13, 0)",0 days 00:26:30,44.17,A,2025-03-26 08:55:30
2025-03-26 08:55:30,A,TM4KSMO9,"(18, 13, 0)",0 days 00:23:10,38.61,A,2025-03-26 08:55:50
2025-03-26 08:55:50,A,TM4KSMO9,"(18, 13, 1)",0 days 00:22:50,38.06,A,2025-03-26 08:56:10
2025-03-26 08:56:10,A,TM4KSMO9,"(18, 14, 1)",0 days 00:22:30,37.5,RC,2025-03-26 08:56:40
2025-03-26 08:56:40,RC,,"(18, 14, 1)",0 days 00:22:00,36.67,RC,2025-03-26 08:43:00
2025-03-26 08:43:00,RC,,"(18, 13, 1)",0 days 00:21:40,36.11,RC,2025-03-26 08:43:40
2025-03-26 08:43:40,RC,,"(20, 13, 1)",0 days 00:21:00,35.0,RC,2025-03-26 08:44:20
2025-03-26 08:44:20,RC,,"(20, 15, 1)",0 days 00:20:20,33.89,RC,2025-03-26 08:47:00
2025-03-26 08:47:00,RC,,"(28, 15, 1)",0 days 00:17:40,29.44,RC,2025-03-26 08:47:20
2025-03-26 08:47:20,RC,,"(28, 15, 0)",0 days 00:17:20,28.89,PO,2025-03-26 08:53:30
2025-03-26 08:53:30,PO,,"(28, 15, 0)",0 days 00:29:40,49.44,PO,2025-03-26 08:56:30
2025-03-26 08:56:30,PO,,"(28, 24, 0)",0 days 00:26:40,44.44,PO,2025-03-26 09:00:10
2025-03-26 09:00:10,PO,,"(17, 24, 0)",0 days 00:23:00,38.33,PO,2025-03-26 09:00:30
2025-03-26 09:00:30,PO,,"(17, 25, 0)",0 days 00:22:40,37.78,D,2025-03-26 09:01:00
2025-03-26 09:01:00,D,5SMG8QW7,"(17, 25, 0)",0 days 00:22:10,36.94,D,2025-03-26 09:01:20
2025-03-26 09:01:20,D,5SMG8QW7,"(17, 24, 0)",0 days 00:21:50,36.39,D,2025-03-26 09:02:20
2025-03-26 09:02:20,D,5SMG8QW7,"(20, 24, 0)",0 days 00:20:50,34.72,D,2025-03-26 09:03:40
2025-03-26 09:03:40,D,5SMG8QW7,"(20, 28, 0)",0 days 00:19:30,32.5,D,2025-03-26 09:06:20
2025-03-26 09:06:20,D,5SMG8QW7,"(28, 28, 0)",0 days 00:16:50,28.06,RC,2025-03-26 09:06:50
2025-03-26 09:06:50,RC,,"(28, 28, 0)",0 days 00:16:20,27.22,RC,2025-03-26 09:11:10
2025-03-26 09:11:10,RC,,"(28, 15, 0)",0 days 00:12:00,20.0,PO,2025-03-26 09:26:20
2025-03-26 09:26:20,PO,,"(28, 15, 0)",0 days 00:42:20,70.56,PO,2025-03-26 09:28:40
2025-03-26 09:28:40,PO,,"(28, 8, 0)",0 days 00:40:00,66.67,PO,2025-03-26 09:36:40
2025-03-26 09:36:40,PO,,"(4, 8, 0)",0 days 00:32:00,53.33,D,2025-03-26 09:37:10
2025-03-26 09:37:10,D,SDHRB3V3,"(4, 8, 0)",0 days 00:31:30,52.5,D,2025-03-26 09:37:30
2025-03-26 09:37:30,D,SDHRB3V3,"(5, 8, 0)",0 days 00:31:10,51.94,D,2025-03-26 09:39:10
2025-03-26 09:39:10,D,SDHRB3V3,"(5, 13, 0)",0 days 00:29:30,49.17,D,2025-03-26 09:44:10
2025-03-26 09:44:10,D,SDHRB3V3,"(20, 13, 0)",0 days 00:24:30,40.83,D,2025-03-26 09:49:10
2025-03-26 09:49:10,D,SDHRB3V3,"(20, 28, 0)",0 days 00:19:30,32.5,D,2025-03-26 09:51:50
2025-03-26 09:51:50,D,SDHRB3V3,"(28, 28, 0)",0 days 00:16:50,28.06,RC,2025-03-26 09:52:20
2025-03-26 09:52:20,RC,,"(28, 28, 0)",0 days 00:16:20,27.22,RC,2025-03-26 09:56:40
2025-03-26 09:56:40,RC,,"(28, 15, 0)",0 days 00:12:00,20.0,,
