time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 09:06:00,PO,,"(28, 15, 0)",0 days 01:00:00,100.0,PO,2025-03-26 09:10:40
2025-03-26 09:10:40,PO,,"(28, 1, 0)",0 days 00:55:20,92.22,A,2025-03-26 09:11:10
2025-03-26 09:11:10,A,8RFLKZQ3,"(28, 1, 0)",0 days 00:54:50,91.39,A,2025-03-26 09:15:30
2025-03-26 09:15:30,A,8RFLKZQ3,"(28, 14, 0)",0 days 00:50:30,84.17,A,2025-03-26 09:15:50
2025-03-26 09:15:50,A,8RFLKZQ3,"(27, 14, 0)",0 days 00:50:10,83.61,A,2025-03-26 09:17:50
2025-03-26 09:17:50,A,8RFLKZQ3,"(27, 20, 0)",0 days 00:48:10,80.28,A,2025-03-26 09:25:30
2025-03-26 09:25:30,A,8RFLKZQ3,"(4, 20, 0)",0 days 00:40:30,67.5,RC,2025-03-26 09:26:00
2025-03-26 09:26:00,RC,,"(4, 20, 0)",0 days 00:40:00,66.67,RC,2025-03-26 09:14:20
2025-03-26 09:14:20,RC,,"(5, 20, 0)",0 days 00:39:40,66.11,RC,2025-03-26 09:13:20
2025-03-26 09:13:20,RC,,"(5, 17, 0)",0 days 00:38:40,64.44,RC,2025-03-26 09:14:20
2025-03-26 09:14:20,RC,,"(20, 17, 0)",0 days 00:33:40,56.11,RC,2025-03-26 09:17:00
2025-03-26 09:17:00,RC,,"(20, 15, 0)",0 days 00:33:00,55.0,RC,2025-03-26 09:19:40
2025-03-26 09:19:40,RC,,"(28, 15, 0)",0 days 00:30:20,50.56,PO,2025-03-26 09:17:40
2025-03-26 09:17:40,PO,,"(28, 15, 0)",0 days 00:30:20,50.56,PO,2025-03-26 09:22:20
2025-03-26 09:22:20,PO,,"(28, 1, 0)",0 days 00:25:40,42.78,A,2025-03-26 09:22:50
2025-03-26 09:22:50,A,IO86OUFO,"(28, 1, 0)",0 days 00:25:10,41.94,A,2025-03-26 09:26:50
2025-03-26 09:26:50,A,IO86OUFO,"(16, 1, 0)",0 days 00:21:10,35.28,A,2025-03-26 09:27:30
2025-03-26 09:27:30,A,IO86OUFO,"(16, 1, 2)",0 days 00:20:30,34.17,A,2025-03-26 09:27:50
2025-03-26 09:27:50,A,IO86OUFO,"(16, 2, 2)",0 days 00:20:10,33.61,RC,2025-03-26 09:28:20
2025-03-26 09:28:20,RC,,"(16, 2, 2)",0 days 00:19:40,32.78,RC,2025-03-26 09:14:40
2025-03-26 09:14:40,RC,,"(16, 1, 2)",0 days 00:19:20,32.22,RC,2025-03-26 09:14:00
2025-03-26 09:14:00,RC,,"(20, 1, 2)",0 days 00:18:00,30.0,RC,2025-03-26 09:14:40
2025-03-26 09:14:40,RC,,"(20, 15, 2)",0 days 00:13:20,22.22,RC,2025-03-26 09:13:20
2025-03-26 09:13:20,RC,,"(28, 15, 2)",0 days 00:10:40,17.78,RC,2025-03-26 09:22:00
2025-03-26 09:22:00,RC,,"(28, 15, 0)",0 days 00:10:00,16.67,PO,2025-03-26 09:35:30
2025-03-26 09:35:30,PO,,"(28, 15, 0)",0 days 00:37:00,61.67,PO,2025-03-26 09:38:30
2025-03-26 09:38:30,PO,,"(28, 24, 0)",0 days 00:34:00,56.67,PO,2025-03-26 09:45:50
2025-03-26 09:45:50,PO,,"(6, 24, 0)",0 days 00:26:40,44.44,PO,2025-03-26 09:46:10
2025-03-26 09:46:10,PO,,"(6, 25, 0)",0 days 00:26:20,43.89,D,2025-03-26 09:46:40
2025-03-26 09:46:40,D,HW5IM51W,"(6, 25, 0)",0 days 00:25:50,43.06,D,2025-03-26 09:47:00
2025-03-26 09:47:00,D,HW5IM51W,"(6, 24, 0)",0 days 00:25:30,42.5,D,2025-03-26 09:51:40
2025-03-26 09:51:40,D,HW5IM51W,"(20, 24, 0)",0 days 00:20:50,34.72,D,2025-03-26 09:53:00
2025-03-26 09:53:00,D,HW5IM51W,"(20, 28, 0)",0 days 00:19:30,32.5,D,2025-03-26 09:55:40
2025-03-26 09:55:40,D,HW5IM51W,"(28, 28, 0)",0 days 00:16:50,28.06,RC,2025-03-26 10:00:10
2025-03-26 10:00:10,RC,,"(28, 28, 0)",0 days 00:16:20,27.22,RC,2025-03-26 09:34:30
2025-03-26 09:34:30,RC,,"(28, 15, 0)",0 days 00:12:00,20.0,PO,2025-03-26 09:53:40
2025-03-26 09:53:40,PO,,"(28, 15, 0)",0 days 00:50:20,83.89,PO,2025-03-26 09:58:00
2025-03-26 09:58:00,PO,,"(28, 2, 0)",0 days 00:46:00,76.67,PO,2025-03-26 09:58:20
2025-03-26 09:58:20,PO,,"(27, 2, 0)",0 days 00:45:40,76.11,PO,2025-03-26 09:58:40
2025-03-26 09:58:40,PO,,"(27, 1, 0)",0 days 00:45:20,75.56,PO,2025-03-26 10:07:20
2025-03-26 10:07:20,PO,,"(1, 1, 0)",0 days 00:36:40,61.11,PO,2025-03-26 10:08:40
2025-03-26 10:08:40,PO,,"(1, 5, 0)",0 days 00:35:20,58.89,PO,2025-03-26 10:09:00
2025-03-26 10:09:00,PO,,"(1, 5, 1)",0 days 00:35:00,58.33,PO,2025-03-26 10:09:20
2025-03-26 10:09:20,PO,,"(2, 5, 1)",0 days 00:34:40,57.78,D,2025-03-26 10:09:50
2025-03-26 10:09:50,D,XL5Z808H,"(2, 5, 1)",0 days 00:34:10,56.94,D,2025-03-26 10:10:10
2025-03-26 10:10:10,D,XL5Z808H,"(1, 5, 1)",0 days 00:33:50,56.39,D,2025-03-26 10:17:50
2025-03-26 10:17:50,D,XL5Z808H,"(1, 28, 1)",0 days 00:26:10,43.61,D,2025-03-26 10:26:50
2025-03-26 10:26:50,D,XL5Z808H,"(28, 28, 1)",0 days 00:17:10,28.61,D,2025-03-26 10:27:10
2025-03-26 10:27:10,D,XL5Z808H,"(28, 28, 0)",0 days 00:16:50,28.06,RC,2025-03-26 10:27:40
2025-03-26 10:27:40,RC,,"(28, 28, 0)",0 days 00:16:20,27.22,RC,2025-03-26 10:26:00
2025-03-26 10:26:00,RC,,"(28, 15, 0)",0 days 00:12:00,20.0,,
