time,task_type,id,position,battery_time,battery_percentage,next_task,next_time
2025-03-26 08:20:00,PO,,"(28, 15, 0)",0 days 01:00:00,100.0,PO,2025-03-26 08:24:40
2025-03-26 08:24:40,PO,,"(28, 1, 0)",0 days 00:55:20,92.22,A,2025-03-26 08:25:10
2025-03-26 08:25:10,A,1LAW58SA,"(28, 1, 0)",0 days 00:54:50,91.39,A,2025-03-26 08:29:30
2025-03-26 08:29:30,A,1LAW58SA,"(28, 14, 0)",0 days 00:50:30,84.17,A,2025-03-26 08:29:50
2025-03-26 08:29:50,A,1LAW58SA,"(27, 14, 0)",0 days 00:50:10,83.61,A,2025-03-26 08:31:10
2025-03-26 08:31:10,A,1LAW58SA,"(27, 18, 0)",0 days 00:48:50,81.39,A,2025-03-26 08:38:30
2025-03-26 08:38:30,A,1LAW58SA,"(5, 18, 0)",0 days 00:41:30,69.17,A,2025-03-26 08:38:50
2025-03-26 08:38:50,A,1LAW58SA,"(5, 18, 1)",0 days 00:41:10,68.61,A,2025-03-26 08:39:10
2025-03-26 08:39:10,A,1LAW58SA,"(4, 18, 1)",0 days 00:40:50,68.06,RC,2025-03-26 08:39:40
2025-03-26 08:39:40,RC,,"(4, 18, 1)",0 days 00:40:20,67.22,RC,2025-03-26 08:28:00
2025-03-26 08:28:00,RC,,"(5, 18, 1)",0 days 00:40:00,66.67,RC,2025-03-26 08:28:20
2025-03-26 08:28:20,RC,,"(5, 17, 1)",0 days 00:39:40,66.11,RC,2025-03-26 08:27:20
2025-03-26 08:27:20,RC,,"(20, 17, 1)",0 days 00:34:40,57.78,RC,2025-03-26 08:28:00
2025-03-26 08:28:00,RC,,"(20, 15, 1)",0 days 00:34:00,56.67,RC,2025-03-26 08:30:40
2025-03-26 08:30:40,RC,,"(28, 15, 1)",0 days 00:31:20,52.22,RC,2025-03-26 09:31:00
2025-03-26 09:31:00,RC,,"(28, 15, 0)",0 days 00:31:00,51.67,PO,2025-03-26 09:27:00
2025-03-26 09:27:00,PO,,"(28, 15, 0)",0 days 00:31:00,51.67,PO,2025-03-26 09:31:40
